epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1763.33,0.36006,0.92006,0.86966,0.79655,0.85183,0.9329,0.91853,0.24733,0.70568,0.81098,0.00023764,0.00023764,0.00023764
43,1803.03,0.35414,0.84225,0.86002,0.89105,0.90997,0.97416,0.95396,0.25889,0.56976,0.80917,0.00023368,0.00023368,0.00023368
44,1837.74,0.36344,0.85446,0.87229,0.92406,0.9489,0.98586,0.96794,0.25177,0.51039,0.80584,0.00022972,0.00022972,0.00022972
45,1882.64,0.36441,0.84924,0.87078,0.96678,0.97707,0.98791,0.97687,0.23295,0.43307,0.79878,0.00022576,0.00022576,0.00022576
46,1956.65,0.35421,0.83242,0.86411,0.85214,0.90258,0.96696,0.95811,0.24285,0.60547,0.80659,0.0002218,0.0002218,0.0002218
47,2041.3,0.3493,0.78049,0.86352,0.94874,0.95354,0.98636,0.98045,0.2047,0.44928,0.79942,0.00021784,0.00021784,0.00021784
48,2106.27,0.33359,0.76918,0.85535,0.95075,0.95101,0.98661,0.9814,0.21142,0.42956,0.79936,0.00021388,0.00021388,0.00021388
49,2169.19,0.34689,0.79368,0.86153,0.95792,0.97505,0.98615,0.98048,0.22335,0.41174,0.79907,0.00020992,0.00020992,0.00020992
50,2204.55,0.33047,0.74024,0.85957,0.96941,0.96671,0.98851,0.98445,0.20793,0.38104,0.79385,0.00020596,0.00020596,0.00020596
51,2238.09,0.328,0.71308,0.85283,0.91188,0.93853,0.98244,0.96175,0.27556,0.51424,0.807,0.000202,0.000202,0.000202
52,2272.15,0.33907,0.71841,0.85865,0.9748,0.9814,0.98814,0.98431,0.21336,0.35899,0.79099,0.00019804,0.00019804,0.00019804
53,2314.68,0.34429,0.72125,0.85419,0.97899,0.96461,0.98763,0.9751,0.24504,0.38578,0.79716,0.00019408,0.00019408,0.00019408
54,2346.61,0.31873,0.67478,0.8466,0.96881,0.97859,0.99091,0.98646,0.19831,0.36969,0.79325,0.00019012,0.00019012,0.00019012
55,2454.1,0.32359,0.69497,0.84893,0.94394,0.94714,0.99008,0.98207,0.2036,0.41266,0.79573,0.00018616,0.00018616,0.00018616
56,2521.49,0.3176,0.67048,0.84637,0.85593,0.91779,0.97653,0.96769,0.21246,0.53948,0.79822,0.0001822,0.0001822,0.0001822
57,2569.59,0.31067,0.66882,0.84305,0.96257,0.9726,0.9912,0.98541,0.20249,0.38145,0.79697,0.00017824,0.00017824,0.00017824
58,2676.98,0.30872,0.67469,0.84304,0.97481,0.9899,0.99409,0.98955,0.19188,0.34912,0.78931,0.00017428,0.00017428,0.00017428
59,2738.01,0.30026,0.65355,0.8419,0.97711,0.99072,0.99436,0.98961,0.19366,0.31025,0.78872,0.00017032,0.00017032,0.00017032
60,2777.74,0.31624,0.64523,0.8459,0.90648,0.93734,0.9841,0.97921,0.19006,0.43893,0.7883,0.00016636,0.00016636,0.00016636
61,2821.17,0.29342,0.60842,0.83966,0.97887,0.98286,0.99292,0.98988,0.18541,0.31014,0.7903,0.0001624,0.0001624,0.0001624
62,2859.12,0.30805,0.61998,0.84909,0.97023,0.96595,0.99251,0.98931,0.18422,0.34444,0.78759,0.00015844,0.00015844,0.00015844
63,2925.58,0.29896,0.59994,0.84413,0.96739,0.96458,0.9909,0.9864,0.18481,0.34848,0.78719,0.00015448,0.00015448,0.00015448
64,2958.16,0.30425,0.61555,0.84293,0.9772,0.98436,0.99137,0.98622,0.2023,0.3085,0.78975,0.00015052,0.00015052,0.00015052
65,2994.29,0.29907,0.58609,0.84136,0.98046,0.96991,0.99393,0.99059,0.18065,0.30971,0.7884,0.00014656,0.00014656,0.00014656
66,3030.84,0.29556,0.57486,0.84493,0.98546,0.99192,0.9943,0.9895,0.17959,0.28723,0.78431,0.0001426,0.0001426,0.0001426
67,3084.33,0.2924,0.58911,0.84193,0.95239,0.97233,0.99402,0.98926,0.18301,0.34213,0.78811,0.00013864,0.00013864,0.00013864
